2026-05-28,20:30:34 | INFO | Rank 0 |   C: 3.16
2026-05-28,20:30:34 | INFO | Rank 0 |   EOS: 5631
2026-05-28,20:30:34 | INFO | Rank 0 |   SOS: 5632
2026-05-28,20:30:34 | INFO | Rank 0 |   aggregate: True
2026-05-28,20:30:34 | INFO | Rank 0 |   ann_file: None
2026-05-28,20:30:34 | INFO | Rank 0 |   auto_resume: True
2026-05-28,20:30:34 | INFO | Rank 0 |   batch_aug: False
2026-05-28,20:30:34 | INFO | Rank 0 |   batch_size: 2
2026-05-28,20:30:34 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,20:30:34 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,20:30:34 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,20:30:34 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,20:30:34 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,20:30:34 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,20:30:34 | INFO | Rank 0 |   csv_separator: ,
2026-05-28,20:30:34 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,20:30:34 | INFO | Rank 0 |   debug: False
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_backend: nccl
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_brightness: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_contrast: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_hue: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_saturation: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   dist_url: tcp://127.0.0.1:6100
2026-05-28,20:30:34 | INFO | Rank 0 |   distortion_prob: 0.5
2026-05-28,20:30:34 | INFO | Rank 0 |   distributed: False
2026-05-28,20:30:34 | INFO | Rank 0 |   dp: False
2026-05-28,20:30:34 | INFO | Rank 0 |   epochs: 40
2026-05-28,20:30:34 | INFO | Rank 0 |   eps: 1e-08
2026-05-28,20:30:34 | INFO | Rank 0 |   first: False
2026-05-28,20:30:34 | INFO | Rank 0 |   gpu: 0
2026-05-28,20:30:34 | INFO | Rank 0 |   gt_dir: E:/ODM/dataset/synthetic_chinese_handwriting/masks/
2026-05-28,20:30:34 | INFO | Rank 0 |   img_loss_weight: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   log_frequency: 100
2026-05-28,20:30:34 | INFO | Rank 0 |   log_level: 20
2026-05-28,20:30:34 | INFO | Rank 0 |   log_path: ./logs/odm_chinese_handwriting\out.log
2026-05-28,20:30:34 | INFO | Rank 0 |   logs: ./logs/
2026-05-28,20:30:34 | INFO | Rank 0 |   lpips_loss_weight: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   lr: 0.0001
2026-05-28,20:30:34 | INFO | Rank 0 |   mask_mode: all
2026-05-28,20:30:34 | INFO | Rank 0 |   max_len: 32
2026-05-28,20:30:34 | INFO | Rank 0 |   max_position_embeddings: 865
2026-05-28,20:30:34 | INFO | Rank 0 |   model: RN50_Seg_Clip
2026-05-28,20:30:34 | INFO | Rank 0 |   multigpu: None
2026-05-28,20:30:34 | INFO | Rank 0 |   name: odm_chinese_handwriting
2026-05-28,20:30:34 | INFO | Rank 0 |   ngpus_per_node: 1
2026-05-28,20:30:34 | INFO | Rank 0 |   nmechine: 1
2026-05-28,20:30:34 | INFO | Rank 0 |   num_bins: 1000
2026-05-28,20:30:34 | INFO | Rank 0 |   num_char_classes: 4630
2026-05-28,20:30:34 | INFO | Rank 0 |   num_classes: 5634
2026-05-28,20:30:34 | INFO | Rank 0 |   padding_index: 5633
2026-05-28,20:30:34 | INFO | Rank 0 |   precision: amp
2026-05-28,20:30:34 | INFO | Rank 0 |   prefix: 
2026-05-28,20:30:34 | INFO | Rank 0 |   pretrained: None
2026-05-28,20:30:34 | INFO | Rank 0 |   rank: 0
2026-05-28,20:30:34 | INFO | Rank 0 |   recog_pad_index: 5630
2026-05-28,20:30:34 | INFO | Rank 0 |   report_to: 
2026-05-28,20:30:34 | INFO | Rank 0 |   resume: None
2026-05-28,20:30:34 | INFO | Rank 0 |   rotate_max_angle: 30
2026-05-28,20:30:34 | INFO | Rank 0 |   rotate_prob: 0.3
2026-05-28,20:30:34 | INFO | Rank 0 |   save_frequency: 1
2026-05-28,20:30:34 | INFO | Rank 0 |   save_most_recent: False
2026-05-28,20:30:34 | INFO | Rank 0 |   seq_loss_weight: 1.0
2026-05-28,20:30:34 | INFO | Rank 0 |   skip_aggregate: False
2026-05-28,20:30:34 | INFO | Rank 0 |   skip_scheduler: False
2026-05-28,20:30:34 | INFO | Rank 0 |   tensorboard: False
2026-05-28,20:30:34 | INFO | Rank 0 |   tensorboard_path: 
2026-05-28,20:30:34 | INFO | Rank 0 |   test_max_size: 1824
2026-05-28,20:30:34 | INFO | Rank 0 |   test_min_size: 1000
2026-05-28,20:30:34 | INFO | Rank 0 |   train_data: E:/ODM/dataset/labels.csv
2026-05-28,20:30:34 | INFO | Rank 0 |   train_max_size: 1600
2026-05-28,20:30:34 | INFO | Rank 0 |   train_min_size: [640, 672, 704, 736, 768, 800, 832, 864, 896]
2026-05-28,20:30:34 | INFO | Rank 0 |   use_LPIPS: True
2026-05-28,20:30:34 | INFO | Rank 0 |   use_OCR_LPIPS: True
2026-05-28,20:30:34 | INFO | Rank 0 |   use_bn_sync: False
2026-05-28,20:30:34 | INFO | Rank 0 |   use_l1: False
2026-05-28,20:30:34 | INFO | Rank 0 |   use_slip: False
2026-05-28,20:30:34 | INFO | Rank 0 |   val_data: None
2026-05-28,20:30:34 | INFO | Rank 0 |   warmup: 10000
2026-05-28,20:30:34 | INFO | Rank 0 |   wd: 0.2
2026-05-28,20:30:34 | INFO | Rank 0 |   word_len: 25
2026-05-28,20:30:34 | INFO | Rank 0 |   workers: 0
2026-05-28,20:30:34 | INFO | Rank 0 |   world_size: 1
2026-05-28,20:30:34 | INFO | Rank 0 | Use GPU: 0 for training
2026-05-28,20:30:35 | INFO | Rank 0 | => no checkpoint found at 'odm_chinese_handwriting'
2026-05-28,20:30:35 | INFO | Rank 0 | Start epoch 0
2026-05-28,20:34:31 | INFO | Rank 0 | Params:
2026-05-28,20:34:31 | INFO | Rank 0 |   C: 3.16
2026-05-28,20:34:31 | INFO | Rank 0 |   EOS: 5631
2026-05-28,20:34:31 | INFO | Rank 0 |   SOS: 5632
2026-05-28,20:34:31 | INFO | Rank 0 |   aggregate: True
2026-05-28,20:34:31 | INFO | Rank 0 |   ann_file: None
2026-05-28,20:34:31 | INFO | Rank 0 |   auto_resume: True
2026-05-28,20:34:31 | INFO | Rank 0 |   batch_aug: False
2026-05-28,20:34:31 | INFO | Rank 0 |   batch_size: 2
2026-05-28,20:34:31 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,20:34:31 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,20:34:31 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,20:34:31 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,20:34:31 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,20:34:31 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,20:34:31 | INFO | Rank 0 |   csv_separator: ,
2026-05-28,20:34:31 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,20:34:31 | INFO | Rank 0 |   debug: False
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_backend: nccl
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_brightness: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_contrast: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_hue: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_saturation: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   dist_url: tcp://127.0.0.1:6100
2026-05-28,20:34:31 | INFO | Rank 0 |   distortion_prob: 0.5
2026-05-28,20:34:31 | INFO | Rank 0 |   distributed: False
2026-05-28,20:34:31 | INFO | Rank 0 |   dp: False
2026-05-28,20:34:31 | INFO | Rank 0 |   epochs: 40
2026-05-28,20:34:31 | INFO | Rank 0 |   eps: 1e-08
2026-05-28,20:34:31 | INFO | Rank 0 |   first: False
2026-05-28,20:34:31 | INFO | Rank 0 |   gpu: 0
2026-05-28,20:34:31 | INFO | Rank 0 |   gt_dir: E:/ODM/dataset/synthetic_chinese_handwriting/masks/
2026-05-28,20:34:31 | INFO | Rank 0 |   img_loss_weight: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   log_frequency: 100
2026-05-28,20:34:31 | INFO | Rank 0 |   log_level: 20
2026-05-28,20:34:31 | INFO | Rank 0 |   log_path: ./logs/odm_chinese_handwriting\out.log
2026-05-28,20:34:31 | INFO | Rank 0 |   logs: ./logs/
2026-05-28,20:34:31 | INFO | Rank 0 |   lpips_loss_weight: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   lr: 0.0001
2026-05-28,20:34:31 | INFO | Rank 0 |   mask_mode: all
2026-05-28,20:34:31 | INFO | Rank 0 |   max_len: 32
2026-05-28,20:34:31 | INFO | Rank 0 |   max_position_embeddings: 865
2026-05-28,20:34:31 | INFO | Rank 0 |   model: RN50_Seg_Clip
2026-05-28,20:34:31 | INFO | Rank 0 |   multigpu: None
2026-05-28,20:34:31 | INFO | Rank 0 |   name: odm_chinese_handwriting
2026-05-28,20:34:31 | INFO | Rank 0 |   ngpus_per_node: 1
2026-05-28,20:34:31 | INFO | Rank 0 |   nmechine: 1
2026-05-28,20:34:31 | INFO | Rank 0 |   num_bins: 1000
2026-05-28,20:34:31 | INFO | Rank 0 |   num_char_classes: 4630
2026-05-28,20:34:31 | INFO | Rank 0 |   num_classes: 5634
2026-05-28,20:34:31 | INFO | Rank 0 |   padding_index: 5633
2026-05-28,20:34:31 | INFO | Rank 0 |   precision: amp
2026-05-28,20:34:31 | INFO | Rank 0 |   prefix: 
2026-05-28,20:34:31 | INFO | Rank 0 |   pretrained: None
2026-05-28,20:34:31 | INFO | Rank 0 |   rank: 0
2026-05-28,20:34:31 | INFO | Rank 0 |   recog_pad_index: 5630
2026-05-28,20:34:31 | INFO | Rank 0 |   report_to: 
2026-05-28,20:34:31 | INFO | Rank 0 |   resume: None
2026-05-28,20:34:31 | INFO | Rank 0 |   rotate_max_angle: 30
2026-05-28,20:34:31 | INFO | Rank 0 |   rotate_prob: 0.3
2026-05-28,20:34:31 | INFO | Rank 0 |   save_frequency: 1
2026-05-28,20:34:31 | INFO | Rank 0 |   save_most_recent: False
2026-05-28,20:34:31 | INFO | Rank 0 |   seq_loss_weight: 1.0
2026-05-28,20:34:31 | INFO | Rank 0 |   skip_aggregate: False
2026-05-28,20:34:31 | INFO | Rank 0 |   skip_scheduler: False
2026-05-28,20:34:31 | INFO | Rank 0 |   tensorboard: False
2026-05-28,20:34:31 | INFO | Rank 0 |   tensorboard_path: 
2026-05-28,20:34:31 | INFO | Rank 0 |   test_max_size: 1824
2026-05-28,20:34:31 | INFO | Rank 0 |   test_min_size: 1000
2026-05-28,20:34:31 | INFO | Rank 0 |   train_data: E:/ODM/dataset/labels.csv
2026-05-28,20:34:31 | INFO | Rank 0 |   train_max_size: 1600
2026-05-28,20:34:31 | INFO | Rank 0 |   train_min_size: [640, 672, 704, 736, 768, 800, 832, 864, 896]
2026-05-28,20:34:31 | INFO | Rank 0 |   use_LPIPS: True
2026-05-28,20:34:31 | INFO | Rank 0 |   use_OCR_LPIPS: True
2026-05-28,20:34:31 | INFO | Rank 0 |   use_bn_sync: False
2026-05-28,20:34:31 | INFO | Rank 0 |   use_l1: False
2026-05-28,20:34:31 | INFO | Rank 0 |   use_slip: False
2026-05-28,20:34:31 | INFO | Rank 0 |   val_data: None
2026-05-28,20:34:31 | INFO | Rank 0 |   warmup: 10000
2026-05-28,20:34:31 | INFO | Rank 0 |   wd: 0.2
2026-05-28,20:34:31 | INFO | Rank 0 |   word_len: 25
2026-05-28,20:34:31 | INFO | Rank 0 |   workers: 0
2026-05-28,20:34:31 | INFO | Rank 0 |   world_size: 1
2026-05-28,20:34:31 | INFO | Rank 0 | Use GPU: 0 for training
2026-05-28,20:34:32 | INFO | Rank 0 | => no checkpoint found at 'odm_chinese_handwriting'
2026-05-28,20:34:32 | INFO | Rank 0 | Start epoch 0
2026-05-28,20:41:28 | INFO | Rank 0 | Params:
2026-05-28,20:41:28 | INFO | Rank 0 |   C: 3.16
2026-05-28,20:41:28 | INFO | Rank 0 |   EOS: 5631
2026-05-28,20:41:28 | INFO | Rank 0 |   SOS: 5632
2026-05-28,20:41:28 | INFO | Rank 0 |   aggregate: True
2026-05-28,20:41:28 | INFO | Rank 0 |   ann_file: None
2026-05-28,20:41:28 | INFO | Rank 0 |   auto_resume: True
2026-05-28,20:41:28 | INFO | Rank 0 |   batch_aug: False
2026-05-28,20:41:28 | INFO | Rank 0 |   batch_size: 2
2026-05-28,20:41:28 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,20:41:28 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,20:41:28 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,20:41:28 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,20:41:28 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,20:41:28 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,20:41:28 | INFO | Rank 0 |   csv_separator: ,
2026-05-28,20:41:28 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,20:41:28 | INFO | Rank 0 |   debug: False
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_backend: nccl
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_brightness: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_contrast: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_hue: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_saturation: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   dist_url: tcp://127.0.0.1:6100
2026-05-28,20:41:28 | INFO | Rank 0 |   distortion_prob: 0.5
2026-05-28,20:41:28 | INFO | Rank 0 |   distributed: False
2026-05-28,20:41:28 | INFO | Rank 0 |   dp: False
2026-05-28,20:41:28 | INFO | Rank 0 |   epochs: 40
2026-05-28,20:41:28 | INFO | Rank 0 |   eps: 1e-08
2026-05-28,20:41:28 | INFO | Rank 0 |   first: False
2026-05-28,20:41:28 | INFO | Rank 0 |   gpu: 0
2026-05-28,20:41:28 | INFO | Rank 0 |   gt_dir: E:/ODM/dataset/synthetic_chinese_handwriting/masks/
2026-05-28,20:41:28 | INFO | Rank 0 |   img_loss_weight: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   log_frequency: 100
2026-05-28,20:41:28 | INFO | Rank 0 |   log_level: 20
2026-05-28,20:41:28 | INFO | Rank 0 |   log_path: ./logs/odm_chinese_handwriting\out.log
2026-05-28,20:41:28 | INFO | Rank 0 |   logs: ./logs/
2026-05-28,20:41:28 | INFO | Rank 0 |   lpips_loss_weight: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   lr: 0.0001
2026-05-28,20:41:28 | INFO | Rank 0 |   mask_mode: all
2026-05-28,20:41:28 | INFO | Rank 0 |   max_len: 32
2026-05-28,20:41:28 | INFO | Rank 0 |   max_position_embeddings: 865
2026-05-28,20:41:28 | INFO | Rank 0 |   model: RN50_Seg_Clip
2026-05-28,20:41:28 | INFO | Rank 0 |   multigpu: None
2026-05-28,20:41:28 | INFO | Rank 0 |   name: odm_chinese_handwriting
2026-05-28,20:41:28 | INFO | Rank 0 |   ngpus_per_node: 1
2026-05-28,20:41:28 | INFO | Rank 0 |   nmechine: 1
2026-05-28,20:41:28 | INFO | Rank 0 |   num_bins: 1000
2026-05-28,20:41:28 | INFO | Rank 0 |   num_char_classes: 4630
2026-05-28,20:41:28 | INFO | Rank 0 |   num_classes: 5634
2026-05-28,20:41:28 | INFO | Rank 0 |   padding_index: 5633
2026-05-28,20:41:28 | INFO | Rank 0 |   precision: amp
2026-05-28,20:41:28 | INFO | Rank 0 |   prefix: 
2026-05-28,20:41:28 | INFO | Rank 0 |   pretrained: None
2026-05-28,20:41:28 | INFO | Rank 0 |   rank: 0
2026-05-28,20:41:28 | INFO | Rank 0 |   recog_pad_index: 5630
2026-05-28,20:41:28 | INFO | Rank 0 |   report_to: 
2026-05-28,20:41:28 | INFO | Rank 0 |   resume: None
2026-05-28,20:41:28 | INFO | Rank 0 |   rotate_max_angle: 30
2026-05-28,20:41:28 | INFO | Rank 0 |   rotate_prob: 0.3
2026-05-28,20:41:28 | INFO | Rank 0 |   save_frequency: 1
2026-05-28,20:41:28 | INFO | Rank 0 |   save_most_recent: False
2026-05-28,20:41:28 | INFO | Rank 0 |   seq_loss_weight: 1.0
2026-05-28,20:41:28 | INFO | Rank 0 |   skip_aggregate: False
2026-05-28,20:41:28 | INFO | Rank 0 |   skip_scheduler: False
2026-05-28,20:41:28 | INFO | Rank 0 |   tensorboard: False
2026-05-28,20:41:28 | INFO | Rank 0 |   tensorboard_path: 
2026-05-28,20:41:28 | INFO | Rank 0 |   test_max_size: 1824
2026-05-28,20:41:28 | INFO | Rank 0 |   test_min_size: 1000
2026-05-28,20:41:28 | INFO | Rank 0 |   train_data: E:/ODM/dataset/labels.csv
2026-05-28,20:41:28 | INFO | Rank 0 |   train_max_size: 1600
2026-05-28,20:41:28 | INFO | Rank 0 |   train_min_size: [640, 672, 704, 736, 768, 800, 832, 864, 896]
2026-05-28,20:41:28 | INFO | Rank 0 |   use_LPIPS: True
2026-05-28,20:41:28 | INFO | Rank 0 |   use_OCR_LPIPS: True
2026-05-28,20:41:28 | INFO | Rank 0 |   use_bn_sync: False
2026-05-28,20:41:28 | INFO | Rank 0 |   use_l1: False
2026-05-28,20:41:28 | INFO | Rank 0 |   use_slip: False
2026-05-28,20:41:28 | INFO | Rank 0 |   val_data: None
2026-05-28,20:41:28 | INFO | Rank 0 |   warmup: 10000
2026-05-28,20:41:28 | INFO | Rank 0 |   wd: 0.2
2026-05-28,20:41:28 | INFO | Rank 0 |   word_len: 25
2026-05-28,20:41:28 | INFO | Rank 0 |   workers: 0
2026-05-28,20:41:28 | INFO | Rank 0 |   world_size: 1
2026-05-28,20:41:28 | INFO | Rank 0 | Use GPU: 0 for training
2026-05-28,20:41:28 | INFO | Rank 0 | => no checkpoint found at 'odm_chinese_handwriting'
2026-05-28,20:41:28 | INFO | Rank 0 | Start epoch 0
2026-05-28,20:48:38 | INFO | Rank 0 | Params:
2026-05-28,20:48:38 | INFO | Rank 0 |   C: 3.16
2026-05-28,20:48:38 | INFO | Rank 0 |   EOS: 5631
2026-05-28,20:48:38 | INFO | Rank 0 |   SOS: 5632
2026-05-28,20:48:38 | INFO | Rank 0 |   aggregate: True
2026-05-28,20:48:38 | INFO | Rank 0 |   ann_file: None
2026-05-28,20:48:38 | INFO | Rank 0 |   auto_resume: True
2026-05-28,20:48:38 | INFO | Rank 0 |   batch_aug: False
2026-05-28,20:48:38 | INFO | Rank 0 |   batch_size: 2
2026-05-28,20:48:38 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,20:48:38 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,20:48:38 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,20:48:38 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,20:48:38 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,20:48:38 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,20:48:38 | INFO | Rank 0 |   csv_separator: ,
2026-05-28,20:48:38 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,20:48:38 | INFO | Rank 0 |   debug: False
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_backend: nccl
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_brightness: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_contrast: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_hue: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_saturation: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   dist_url: tcp://127.0.0.1:6100
2026-05-28,20:48:38 | INFO | Rank 0 |   distortion_prob: 0.5
2026-05-28,20:48:38 | INFO | Rank 0 |   distributed: False
2026-05-28,20:48:38 | INFO | Rank 0 |   dp: False
2026-05-28,20:48:38 | INFO | Rank 0 |   epochs: 40
2026-05-28,20:48:38 | INFO | Rank 0 |   eps: 1e-08
2026-05-28,20:48:38 | INFO | Rank 0 |   first: False
2026-05-28,20:48:38 | INFO | Rank 0 |   gpu: 0
2026-05-28,20:48:38 | INFO | Rank 0 |   gt_dir: E:/ODM/dataset/synthetic_chinese_handwriting/masks/
2026-05-28,20:48:38 | INFO | Rank 0 |   img_loss_weight: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   log_frequency: 100
2026-05-28,20:48:38 | INFO | Rank 0 |   log_level: 20
2026-05-28,20:48:38 | INFO | Rank 0 |   log_path: ./logs/odm_chinese_handwriting\out.log
2026-05-28,20:48:38 | INFO | Rank 0 |   logs: ./logs/
2026-05-28,20:48:38 | INFO | Rank 0 |   lpips_loss_weight: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   lr: 0.0001
2026-05-28,20:48:38 | INFO | Rank 0 |   mask_mode: all
2026-05-28,20:48:38 | INFO | Rank 0 |   max_len: 32
2026-05-28,20:48:38 | INFO | Rank 0 |   max_position_embeddings: 865
2026-05-28,20:48:38 | INFO | Rank 0 |   model: RN50_Seg_Clip
2026-05-28,20:48:38 | INFO | Rank 0 |   multigpu: None
2026-05-28,20:48:38 | INFO | Rank 0 |   name: odm_chinese_handwriting
2026-05-28,20:48:38 | INFO | Rank 0 |   ngpus_per_node: 1
2026-05-28,20:48:38 | INFO | Rank 0 |   nmechine: 1
2026-05-28,20:48:38 | INFO | Rank 0 |   num_bins: 1000
2026-05-28,20:48:38 | INFO | Rank 0 |   num_char_classes: 4630
2026-05-28,20:48:38 | INFO | Rank 0 |   num_classes: 5634
2026-05-28,20:48:38 | INFO | Rank 0 |   padding_index: 5633
2026-05-28,20:48:38 | INFO | Rank 0 |   precision: amp
2026-05-28,20:48:38 | INFO | Rank 0 |   prefix: 
2026-05-28,20:48:38 | INFO | Rank 0 |   pretrained: None
2026-05-28,20:48:38 | INFO | Rank 0 |   rank: 0
2026-05-28,20:48:38 | INFO | Rank 0 |   recog_pad_index: 5630
2026-05-28,20:48:38 | INFO | Rank 0 |   report_to: 
2026-05-28,20:48:38 | INFO | Rank 0 |   resume: None
2026-05-28,20:48:38 | INFO | Rank 0 |   rotate_max_angle: 30
2026-05-28,20:48:38 | INFO | Rank 0 |   rotate_prob: 0.3
2026-05-28,20:48:38 | INFO | Rank 0 |   save_frequency: 1
2026-05-28,20:48:38 | INFO | Rank 0 |   save_most_recent: False
2026-05-28,20:48:38 | INFO | Rank 0 |   seq_loss_weight: 1.0
2026-05-28,20:48:38 | INFO | Rank 0 |   skip_aggregate: False
2026-05-28,20:48:38 | INFO | Rank 0 |   skip_scheduler: False
2026-05-28,20:48:38 | INFO | Rank 0 |   tensorboard: False
2026-05-28,20:48:38 | INFO | Rank 0 |   tensorboard_path: 
2026-05-28,20:48:38 | INFO | Rank 0 |   test_max_size: 1824
2026-05-28,20:48:38 | INFO | Rank 0 |   test_min_size: 1000
2026-05-28,20:48:38 | INFO | Rank 0 |   train_data: E:/ODM/dataset/labels.csv
2026-05-28,20:48:38 | INFO | Rank 0 |   train_max_size: 1600
2026-05-28,20:48:38 | INFO | Rank 0 |   train_min_size: [640, 672, 704, 736, 768, 800, 832, 864, 896]
2026-05-28,20:48:38 | INFO | Rank 0 |   use_LPIPS: True
2026-05-28,20:48:38 | INFO | Rank 0 |   use_OCR_LPIPS: True
2026-05-28,20:48:38 | INFO | Rank 0 |   use_bn_sync: False
2026-05-28,20:48:38 | INFO | Rank 0 |   use_l1: False
2026-05-28,20:48:38 | INFO | Rank 0 |   use_slip: False
2026-05-28,20:48:38 | INFO | Rank 0 |   val_data: None
2026-05-28,20:48:38 | INFO | Rank 0 |   warmup: 10000
2026-05-28,20:48:38 | INFO | Rank 0 |   wd: 0.2
2026-05-28,20:48:38 | INFO | Rank 0 |   word_len: 25
2026-05-28,20:48:38 | INFO | Rank 0 |   workers: 0
2026-05-28,20:48:38 | INFO | Rank 0 |   world_size: 1
2026-05-28,20:48:38 | INFO | Rank 0 | Use GPU: 0 for training
2026-05-28,20:48:39 | INFO | Rank 0 | => no checkpoint found at 'odm_chinese_handwriting'
2026-05-28,20:48:39 | INFO | Rank 0 | Start epoch 0
2026-05-28,20:50:24 | INFO | Rank 0 | Params:
2026-05-28,20:50:24 | INFO | Rank 0 |   C: 3.16
2026-05-28,20:50:24 | INFO | Rank 0 |   EOS: 5631
2026-05-28,20:50:24 | INFO | Rank 0 |   SOS: 5632
2026-05-28,20:50:24 | INFO | Rank 0 |   aggregate: True
2026-05-28,20:50:24 | INFO | Rank 0 |   ann_file: None
2026-05-28,20:50:24 | INFO | Rank 0 |   auto_resume: True
2026-05-28,20:50:24 | INFO | Rank 0 |   batch_aug: False
2026-05-28,20:50:24 | INFO | Rank 0 |   batch_size: 2
2026-05-28,20:50:24 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,20:50:24 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,20:50:24 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,20:50:24 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,20:50:24 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,20:50:24 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,20:50:24 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,20:50:24 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,20:50:24 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,20:50:24 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,20:50:24 | INFO | Rank 0 |   csv_separator: ,
